,city,date,SO2,O3,NO2,PM10,PM25,avg temp,max temp,min temp,rain,wind,humid
50,경남,2021-09-22,0.0024666666666666,0.0386666666666666,0.0101333333333333,18.666666666666668,13.666666666666666,21.25,27.55,16.4,0.95,1.55,79.9
51,경북,2021-09-22,0.0021333333333333,0.038,0.0041666666666666,18.666666666666668,11.333333333333334,20.950000000000003,26.75,16.4,1.55,1.5,74.7
52,광주,2021-09-22,0.0030333333333333,0.0569999999999999,0.0070333333333333,22.666666666666668,14.333333333333334,23.2,29.0,18.6,1.9,1.4,84.8
53,대구,2021-09-22,0.0012333333333333,0.042,0.0058333333333333,19.33333333333333,12.666666666666666,24.1,29.6,18.2,NaN,2.2,67.4
54,대전,2021-09-22,0.0023666666666666,0.0566666666666666,0.0056,15.333333333333334,10.666666666666666,22.5,27.8,18.1,10.2,1.8,78.4
55,부산,2021-09-22,0.0048,0.0529999999999999,0.0113,25.0,14.333333333333334,23.1,27.3,19.4,4.0,NaN,80.9
56,서울,2021-09-22,0.0023333333333333,0.044,0.0071333333333333,12.333333333333334,6.333333333333333,20.2,24.3,16.8,4.5,2.7,79.0
57,울산,2021-09-22,0.002,0.043,0.0064666666666666,20.666666666666668,11.333333333333334,23.3,27.7,18.6,0.0,2.6,73.1
58,인천,2021-09-22,0.0026666666666666,0.042,0.0097,11.333333333333334,5.666666666666667,20.8,23.3,18.1,7.0,3.5,70.8
59,전남,2021-09-22,0.0030333333333333,0.0383333333333333,0.0040999999999999,28.33333333333333,15.333333333333334,22.46666666666667,28.666666666666668,18.3,1.8,2.1666666666666665,84.63333333333334
60,전북,2021-09-22,0.00255,0.0563333333333333,0.0052,27.666666666666668,15.0,22.83333333333333,27.3,18.8,4.266666666666667,2.066666666666667,77.03333333333335
61,제주,2021-09-22,0.0021,0.075,0.0060333333333333,38.333333333333336,22.0,25.700000000000003,29.3,21.4,NaN,2.85,81.1
62,충남,2021-09-22,0.0034,0.0586666666666666,0.0046666666666666,20.666666666666668,11.0,21.566666666666663,26.8,16.866666666666664,10.3,1.5333333333333332,79.73333333333333
63,충북,2021-09-22,0.0019,0.0466666666666666,0.0063666666666666,16.666666666666668,8.333333333333334,20.566666666666663,25.933333333333334,16.866666666666667,12.3,1.4666666666666666,78.03333333333333
64,강원,2021-09-21,0.002,0.0296666666666666,0.0071666666666666,12.666666666666666,5.666666666666667,21.866666666666664,27.7,18.166666666666668,14.066666666666668,1.4,80.26666666666667
65,경기,2021-09-21,0.00185,0.0419999999999999,0.0059,15.0,7.5,21.433333333333337,26.4,17.599999999999998,42.46666666666667,2.266666666666667,89.0
