,시도,측정일시,SO2,O3,NO2,PM10,PM25
19988,인천,20150925,0.0061242956349205875,0.03841815476190472,0.026713313492063438,52.965839460784316,33.577380952380956
19989,인천,20150926,0.005343452380952333,0.03956349206349202,0.016018253968253928,53.5514705882353,32.93154761904762
19990,인천,20150927,0.005265079365079313,0.033912698412698374,0.016849007936507895,41.51669730392157,16.80456349206349
19991,인천,20150928,0.005197182539682487,0.03191137218045109,0.019331101190476156,42.092064950980394,18.778769841269842
19992,인천,20150929,0.004237698412698362,0.032583333333333325,0.012560317460317409,30.67156862745098,12.482142857142856
19993,인천,20150930,0.004146398809523775,0.02442324039264827,0.02187479166666663,26.803921568627448,11.515873015873014
19994,인천,20151001,0.004080701058201017,0.018597089947089907,0.019269480820105767,22.430675788672115,11.244047619047619
19995,인천,20151002,0.004841517857142817,0.03181904761904758,0.015187033730158684,41.82031857031857,11.932142857142857
19996,인천,20151003,0.005090386904761862,0.044336706349206306,0.0123727182539682,51.20459401709402,21.091269841269842
19997,인천,20151004,0.005465674603174558,0.029134920634920587,0.01850198412698408,33.223290598290596,15.017857142857144
19998,인천,20151005,0.005266432226399284,0.022191985171261447,0.03102106150793646,33.92902930402931,18.41170634920635
19999,인천,20151006,0.005567544903926441,0.024892991158451644,0.031277253028404305,34.57185401404151,21.017857142857142
20000,인천,20151007,0.005389988236522633,0.02064794049564268,0.03197973521426108,46.752758699633695,28.24404761904762
20001,인천,20151008,0.005833720238095204,0.02845252192982454,0.02243850198412695,51.4954044117647,29.1547619047619
20002,인천,20151009,0.004890079365079317,0.03067499999999998,0.011759920634920583,34.947610294117645,11.583333333333334
20003,인천,20151010,0.0046757638888888335,0.02880592105263156,0.015470505952380913,26.965226715686274,14.23313492063492
20004,인천,20151011,0.004303660714285691,0.020184429824561374,0.0144750694444444,19.77956495098039,12.183829365079363
20005,인천,20151012,0.004306346247563304,0.02194037667698655,0.013172847222222185,20.359593837535016,11.775992063492064
20006,인천,20151013,0.006247907790309071,0.030349585769980477,0.023130894945697533,41.89646066760037,21.810912698412697
20007,인천,20151014,0.005922420634920587,0.02950723684210525,0.03401831349206346,55.66188725490196,35.419642857142854
20008,인천,20151015,0.00807067234057363,0.032461106094484556,0.047782754281537144,77.34267848164907,54.765079365079366
20009,인천,20151016,0.006505932539682496,0.03085844298245612,0.03701935515873012,82.05193014705883,64.07242063492063
20010,인천,20151017,0.00667678571428565,0.02778541666666666,0.04034246031746026,74.85677083333333,51.39880952380952
20011,인천,20151018,0.006036230158730105,0.0365220394736842,0.027660019841269798,86.03477328431372,62.43055555555555
20012,인천,20151019,0.006529662698412659,0.028517898913951508,0.03340921626984123,107.50965073529413,79.1170634920635
20013,인천,20151020,0.007028286340852096,0.025347051656920028,0.031902753759398446,87.11381740196079,58.72222222222222
20014,인천,20151021,0.006493197577276487,0.028634215747702547,0.030283871658312405,113.71535947712418,76.63095238095238
20015,인천,20151022,0.005562213693957063,0.019999095573902045,0.03325272852269559,104.99744543650793,71.29960317460318
20016,인천,20151023,0.0056963789682539295,0.0226552944862155,0.02465308061821216,47.89716094771242,29.71428571428571
20017,인천,20151024,0.004960734126984079,0.03145198412698408,0.01800892857142852,44.224111519607845,28.46031746031746
20018,인천,20151025,0.0045665773809523205,0.02259484126984122,0.02546202380952377,38.364736519607845,20.626984126984127
20019,인천,20151026,0.004751074039264791,0.017460928362573045,0.030084367167919745,38.504195845004666,21.445436507936506
20020,인천,20151027,0.004326617063492029,0.026556448412698372,0.014535297619047574,44.9140931372549,15.708730158730157
20021,인천,20151028,0.0049763533834586045,0.02430140977443604,0.018430590538847085,36.24422998366013,14.4375
20022,인천,20151029,0.004839052840434379,0.021756688596491183,0.01996467157477022,27.649152369281044,14.795039682539683
20023,인천,20151030,0.004396887879420737,0.021413572329516573,0.014796188213589495,35.55127655228758,12.395238095238094
20024,인천,20151031,0.004958730158730108,0.019466666666666653,0.02171130952380948,35.74249387254902,19.101190476190478
20025,인천,20151101,0.005920833333333279,0.01072916666666665,0.035838690476190434,52.663756127450974,33.73710317460318
20026,인천,20151102,0.006499795321637379,0.020464035087719275,0.03211490079365074,57.61311274509804,36.96527777777778
20027,인천,20151103,0.008491074561403467,0.026841995614035056,0.038722467105263114,77.58174019607843,52.842261904761905
20028,인천,20151104,0.008930823412698359,0.023457393483709232,0.052246348162071805,93.40870098039215,72.06646825396825
20029,인천,20151105,0.007651939407341842,0.023102463573148515,0.04867789980465867,92.80577001633986,73.14087301587301
20030,인천,20151106,0.004735517961570558,0.021438194444444395,0.02997976190476186,61.490196078431374,42.43849206349206
